ptr,TOT_ENR_M,TOT_ENR_F,TOT_ENR,Mean_rating
16.222698,4795,4591,9386,3.125
14.596506,703,612,1315,2.75
11.102129,216,199,415,3.375
16.413321,7149,6946,14095,3.75
13.450984,865,820,1685,3.75
14.79947,1092,967,2059,3.875
8.5054674,76,72,148,3.5
13.901755,1205,1215,2420,2.875
15.764544,5005,4603,9608,3
15.058979,762,685,1447,3.125
14.290382,27603,25923,53526,4
14.107519,443,400,843,3.625
11.036844,352,307,659,3.5
13.575462,625,562,1187,3
12.49838,538,457,995,3.25
15.620627,871,785,1656,3.25
13.788714,649,627,1276,2.875
11.474908,192,173,365,3.5
12.721222,423,437,860,3.125
15.444632,3648,3308,6956,3.25
11.053604,130,151,281,3.75
14.378432,589,560,1149,2.75
12.266666,127,155,282,3
11.315789,113,110,223,2.333333333
16.717371,1751,1705,3456,3.75
13.761706,1419,1290,2709,3.625
15.866886,3016,2760,5776,3.5
13.178947,373,296,669,2
10.17997,385,418,803,3
14.995259,2655,2406,5061,3.75
16.779688,1682,1555,3237,3.25
10.451306,83,78,161,2.75
11.78062,254,238,492,3.125
11.315233,352,329,681,2.875
16.041071,5922,5488,11410,4
11.328621,336,324,660,2.625
10.827465,175,200,375,2.875
13.539753,1079,990,2069,3.75
10.272727,62,60,122,3.333333333
16.28231,1806,1672,3478,3.125
14.399925,784,792,1576,2.875
17.21134,3684,3418,7102,3
16.298746,1223,1112,2335,3.75
13.666894,729,720,1449,2.5
5.6902523,63,63,126,3.875
9.2105265,189,178,367,3.125
10.63135,156,139,295,2
11.085317,322,255,577,2.875
15.473385,10796,10175,20971,4
12.509414,840,821,1661,3
10.388702,352,362,714,2.75
16.301001,20999,20066,41065,4
11.03843,188,220,408,3.714285714
13.329074,246,224,470,3.625
10.72478,434,432,866,3.75
13.086985,927,853,1780,3.375
13.340628,958,891,1849,3.75
16.043407,2750,2546,5296,2.875
8.9887638,90,58,148,3.25
13.397423,340,323,663,3.25
14.196118,2605,2539,5144,4
14.621758,2218,2039,4257,3.125
16.579533,10864,10206,21070,4
13.912618,2387,2208,4595,3.625
15.857865,4136,3827,7963,3.375
15.162639,1605,1434,3039,2.5
15.113007,6921,6863,13784,3.625
14.310655,1403,1347,2750,3.125
11.241611,185,132,317,4
13.270362,482,405,887,3
10.895584,135,137,272,3.75
12.633534,122,143,265,3.25
12.546555,304,255,559,4
14.030758,376,363,739,3.5
